name,description,badge_type_id,code,badges_event_id,image,level,target,social_message,sub_module,active,Points Flow Checked/Fixed,Target Checked/Fixed,Description Checked,Badge Flow Checked
Notebook Was Shared,"Woohoo! You receive a silver medal! Your notebook was shared by 15 community members. Keep creating amazing resources, the AIcrew community loved it. :)",4,,5,/assets/notebook_badges/Notebook_Share_passive_silver.png,2,15,"I received the silver badge as my notebooks were shared by @AIcrowdHQ community members. You might find it helpful too, check it out  [link]",notebook,TRUE,,YES,YES,
Notebook Was Shared,"Wow, you are popular! Here’s your gold badge. Your notebook was shared by 30 AIcrowd members. We are delighted to have you on our platform. Keep creating :)",4,,5,/assets/notebook_badges/Notebook_Share_passive_gold.png,3,30,"Wow, I just unlocked the gold badge on @AIcrowdHQ as my notebook was shared by 40 people. It’s a favourite in the community, find out why [link] ",notebook,TRUE,,YES,YES,
Commented On Notebook,"You’re a busy bee, interacting with other community members. Here’s your bronze badge to show our appreciation for your work. Keep it up. :)",4,,5,/assets/notebook_badges/Notebook_comment_Active_bronze.png,1,5,n/a,notebook,TRUE,,YES,YES,
Notebook Received Comment,Your notebook has caught attention of our community members! You’ve unlocked bronze badge. Keep creating and sharing!,4,,5,/assets/notebook_badges/Notebook_comment_passive_bronze.png,1,3,n/a,notebook,TRUE,,,,
Bookmarked Notebook,You’ve followed 5 notebooks and unlocked bronze badge. 10 more follows away from levelling up to silver. Keep going on!,4,,5,/assets/notebook_badges/Notebook_bookmark_Active_bronze.png,1,5,n/a,notebook,TRUE,,YES,YES,
Bookmarked Notebook,"You’ve followed 15 notebooks and unlocked silver badge! Keep going, 20 more and you’ll level up. ",4,,5,/assets/notebook_badges/Notebook_bookmark_Active_silver.png,2,15,n/a,notebook,TRUE,,YES,YES,
Bookmarked Notebook,"Wow, you are an active member of our community. Here’s a gold badge to appreciate your effort. Keep interacting with resources created by the resources. ",4,,5,/assets/notebook_badges/Notebook_bookmark_Active_gold.png,3,35,n/a,notebook,FALSE,,YES,YES,
Community Contribution Winner,"Congratulations, you’ve unlocked the silver badge by winning Blitz Community Explainer! Thank you for creating helpful resources for the users, the community loved it. Keep it up :) ",4,,5,/assets/notebook_badges/badges-99.png,2,1,"I unlocked the silver badge on @AIcrowdHQ by winning the Blitz Community Explainer.If you are starting your AI journey, you will find this resource helpful [link]",notebook,TRUE,,,,
Liked Notebook,Lovely to see you interact with other members. You’ve unlocked a bronze badge! Next level - 15 more likes for silver. Keep it up!,4,,5,/assets/notebook_badges/Notebook_like_Active_bronze.png,1,10,N/A,notebook,FALSE,,,,
Liked Notebook,"You’re an active AIcrew member, here’s your silver badge! At AIcrowd we grow by learning from our peers. 15 more likes for the next level! Let’s go!",4,,5,/assets/notebook_badges/Notebook_like_Active_silver.png,2,25,N/A,notebook,FALSE,,,,
Commented On Notebook,"1. Wow, you are committed to the craft! A gold badge to applaud your active involvement in this community. Thank you for your efforts! Keep it up.",4,,5,/assets/notebook_badges/Notebook_comment_Active_gold.png,3,35,2. I received the prestigious gold badge for engagement and resource sharing on @AIcrowdHQ. Here are some of my favourite resources [link],notebook,FALSE,,,,
Executed Notebook,"You receive a bronze badge for downloading 10 notebooks. Good job, you’re 15 downloads away from a level up ",4,,5,/assets/notebook_badges/Notebook_download_Active_bronze.png,1,10,n/a,notebook,FALSE,,,,
Notebook Was Liked,"Your notebook received 10 likes - with this, you’ve unlocked bronze badge! The community appreciates your contribution, keep creating. :)",4,,5,/assets/notebook_badges/Notebook_like_passive_bronze.png,1,5,"2. Hi, my notebook has received 10 likes and a bronze badge, check it out [link]",notebook,TRUE,,YES,YES,
Notebook Was Liked,"Your notebook on @AIcrowdHQ received 20 likes - with this, you’ve unlocked silver badge! The community appreciates your contribution, keep creating. :)",4,,5,/assets/notebook_badges/Notebook_like_passive_silver.png,2,20,"2.  My notebook on @AIcrowdHQ has received a silver badge, check out my AI resource [link]",notebook,TRUE,,YES,YES,
Notebook Was Liked,"Wow, your notebook has received 35 likes —  with this, you’ve unlocked gold badge! Your notebook is popular! The community appreciates your contribution, keep creating. :)",4,,5,/assets/notebook_badges/Notebook_like_passive_gold.png,3,35,"2. My notebook on @AIcrowdHQ is popular! It has a golden badge, check it out now [link]",notebook,TRUE,,YES,YES,
Commented On Notebook,Your involvement in the community is brilliant! Here’s a silver badge to celebrate that! Keep up the good work.,4,,5,/assets/notebook_badges/Notebook_comment_Active_silver.png,2,15,2. I unlocked the silver badge for my active participation on @AIcrowdHQ. Here are my favourite resources created by the community [link],notebook,TRUE,,YES,YES,
Notebook Received Comment,You notebook is getting attention! You have unlocked the silver badge by receiving 15 comments. Keep up the good work. :),4,,5,/assets/notebook_badges/Notebook_comment_passive_silver.png,2,15,2. I received the silver badge as my notebook on @AIcrowdHQ is garnering some attention. Check it out [link],notebook,TRUE,,YES,YES,
Notebook Received Comment,"Wow, you have received the gold badge! Your notebook is really population. Great work, keep creating! :)",4,,5,/assets/notebook_badges/Notebook_comment_passive_gold.png,3,30,2. I received the prestigious gold badge for my notebook! Check out the resource over here [link],notebook,TRUE,,YES,YES,
Notebook Was Executed,You’ve unlocked the bronze badge! The community is noticing you! Keep creating and sharing your resources.,4,,5,/assets/notebook_badges/Notebook_download_passive_bronze.png,1,5,n/a,notebook,TRUE,,YES,YES,
Notebook Was Executed,"Woohoo, you receive a silver badge! 15 people have downloaded to your notebook. The community liked your resources, keep up the good work. :)",4,,5,/assets/notebook_badges/Notebook_download_passive_silver.png,2,15,I received the silver badge for my notebook on @AIcrowdHQ. Check out the notebook [link],notebook,TRUE,,YES,YES,
Notebook Was Executed,"Wow, you receive a gold badge as your notebooks have 35 downloads. Your work is quite popular! Keep creating and sharing more notebooks.:) ",4,,5,/assets/notebook_badges/Notebook_download_passive_gold.png,3,35,"Yay, I received the prestigious gold badge for my notebook on @AIcrowdHQ. Check out my notebook that is popular among AIcrowd community members [link]",notebook,TRUE,,YES,YES,
"Created one notebook, like 3 notebooks, shared 2 notebooks ",,4,,5,,2,1,,notebook,FALSE,,,,
Executed Notebook,You have unlocked silver badge by downloading 25 notebooks. We appreciate your active participation on this platform. Keep up the good work.,4,,5,/assets/notebook_badges/Notebook_download_Active_silver.png,2,25,n/a,notebook,FALSE,,,,
Executed Notebook,"Wow, you’re a busy bee. Here’s a gold badge to reward your hard work! Our community appreciates your active participation. ",4,,5,/assets/notebook_badges/Notebook_download_Active_gold.png,3,40,n/a,notebook,FALSE,,,,
Created Blitz Notebook,Amazing! You have created 15 blitz notebooks on AIcrowd. We want to appreciate this achievment by giving you the silver badge. Next level - 30 notebooks. Let’s go!,4,,5,/assets/notebook_badges/Blitz_Creation_Active_silver.png,2,15,,notebook,TRUE,,YES,YES,
Created Blitz Notebook,"Congratualtions, you’ve unlocked the gold badge! This calls for a celebrations. We are so proud to have you as an AIcrowd member. Great job :)",4,,5,/assets/notebook_badges/Blitz_Creation_Active_gold.png,3,30,,notebook,TRUE,,YES,YES,
Basic User,,4,,5,,,,,,TRUE,,,,
Certified,,4,,1,,,,,,TRUE,,,,
First Onebox,,4,,5,,,,,,TRUE,,,,
Wiki Editor,,4,,5,,,,,,TRUE,,,,
First Reply By Email,,4,,5,,,,,,TRUE,,,,
Licensed,,4,,5,,,,,,TRUE,,,,
New User of the Month,,4,,5,,,,,,TRUE,,,,
First Quote,,4,,5,,,,,,TRUE,,,,
Popular Link,,4,,5,,,,,,TRUE,,,,
Aficionado,,4,,5,,,,,,TRUE,,,,
Trustable,Has filled their profile page,3,"@participant.add_badge(""Trustable"")",1,,,,,,TRUE,,,,
Newtonian,Kudos! You've won a bronze badge in this challenge. Keep up the great work!,3," challenge_round = ChallengeRound.find_by(id:round_id)
round_name = challenge_round.challenge.challenge + ' ' + challenge_round.challenge_round
if max_rank <= 250
  if participant_ranks>=0.2 && participant_ranks < 0.4
    Participant.find_by(id: participant_id).add_badge('gold-challenge-end', {challenge_round: round_name})
  end
elsif max_rank > 250
  if participant_ranks >=0.05 && participant_ranks < 0.1
    Participant.find_by(id: participant_id).add_badge('gold-challenge-end', {challenge_round: round_name})
  end
end",6,,,,,,TRUE,,,,
test_badge,test,1,,1,,,,,,TRUE,,,,
Rookie,You've made your first successful submission with us. Keep going!,4,"if Submission.where(participant_id: participant_id, grading_status_cd: 'graded').count == 1
  Participant.find_by(id: participant_id)&.add_badge(""Learner"")
end",1,,,,,,TRUE,,,,
Enduring,You've made more than 10 submissions. Here's a bronze badge for you!,3,"if grading_status_cd == 'graded'
  participant_submission_count = Submission.where(participant_id: participant_id, grading_status_cd: 'graded').count
  if participant_submission_count == 10
    Participant.find_by(id: participant_id).add_badge(""bronze-submitter"")
  end
end",1,,,,,,TRUE,,,,
Beginner,You've made your first submission with us. Keep the learning coming in!,4,"if Submission.where(participant_id: participant_id).count == 1
  Participant.find_by(id: participant_id)&.add_badge(""Beginner"")
end",1,,,,,,TRUE,,,,
BeastMode,Wow! You've made over 1000 successful submissions. Here's a gold badge for you. Keep going!,1,"if grading_status_cd == 'graded'
  participant_submission_count = Submission.where(participant_id: participant_id, grading_status_cd: 'graded').count
  if participant_submission_count == 1000
    Participant.find_by(id: participant_id).add_badge(""gold-submitter"")
  end
end",1,,,,,,TRUE,,,,
Persistant,Great work! You've made more than 100 successful submissions. Here's a silver badge for you.,2,"if grading_status_cd == 'graded'
  participant_submission_count = Submission.where(participant_id: participant_id, grading_status_cd: 'graded').count
  if participant_submission_count == 100
    Participant.find_by(id: participant_id).add_badge(""silver-submitter"")
  end
end",1,,,,,,TRUE,,,,
Boltzmann's Favourite,Kudos! You've been awarded a silver badge for this challenge. Keep up the great work!,2," challenge_round = ChallengeRound.find_by(id:round_id)
round_name = challenge_round.challenge.challenge + ' ' + challenge_round.challenge_round

if max_rank <= 250
  if participant_ranks>=0.1 && participant_ranks < 0.2
    Participant.find_by(id: participant_id).add_badge('silver-challenge-end', {challenge_round: round_name})
  end
elsif max_rank > 250
  if participant_ranks >= 0.01 && participant_ranks < 0.05
    Participant.find_by(id: participant_id).add_badge('silver-challenge-end', {challenge_round: round_name})
  end
end",6,,,,,,TRUE,,,,
Anniversary,,4,,5,,,,,,TRUE,,,,
Regular,,4,,5,,,,,,TRUE,,,,
Member,,4,,5,,,,,,TRUE,,,,
Enthusiast,,4,,5,,,,,,TRUE,,,,
Reader,,4,,5,,,,,,TRUE,,,,
Read Guidelines,,4,,5,,,,,,TRUE,,,,
Devotee,,4,,5,,,,,,TRUE,,,,
Promoter,,4,,5,,,,,,TRUE,,,,
Campaigner,,4,,5,,,,,,TRUE,,,,
Leader,,4,,5,,,,,,TRUE,,,,
Champion,,4,,5,,,,,,TRUE,,,,
Nice Share,,4,,5,,,,,,TRUE,,,,
Good Share,,4,,5,,,,,,TRUE,,,,
Great Share,,4,,5,,,,,,TRUE,,,,
Autobiographer,,4,,5,,,,,,TRUE,,,,
Nice Post,,4,,5,,,,,,TRUE,,,,
Good Post,,4,,5,,,,,,TRUE,,,,
Great Post,,4,,5,,,,,,TRUE,,,,
Nice Topic,,4,,5,,,,,,TRUE,,,,
Good Topic,,4,,5,,,,,,TRUE,,,,
Great Topic,,4,,5,,,,,,TRUE,,,,
Hot Link,,4,,5,,,,,,TRUE,,,,
Famous Link,,4,,5,,,,,,TRUE,,,,
Appreciated,,4,,5,,,,,,TRUE,,,,
Respected,,4,,5,,,,,,TRUE,,,,
Admired,,4,,5,,,,,,TRUE,,,,
Thank You,,4,,5,,,,,,TRUE,,,,
Gives Back,,4,,5,,,,,,TRUE,,,,
Empathetic,,4,,5,,,,,,TRUE,,,,
Out of Love,,4,,5,,,,,,TRUE,,,,
Higher Love,,4,,5,,,,,,TRUE,,,,
Crazy in Love,,4,,5,,,,,,TRUE,,,,
Welcome,,4,,5,,,,,,TRUE,,,,
EulerLearner,Great work! You're one of the top participants in this challenge. Here's a gold badge to celebrate the acheivement.,1,"challenge_round = ChallengeRound.find_by(id:round_id)
round_name = challenge_round.challenge.challenge + ' ' + challenge_round.challenge_round
if max_rank <= 250
  if participant_ranks < 0.1
    Participant.find_by(id: participant_id).add_badge('bronze-challenge-end', {challenge_round: round_name})
  end
elsif max_rank > 250
  if participant_ranks < 0.01
    Participant.find_by(id: participant_id).add_badge('bronze-challenge-end', {challenge_round: round_name})
  end
end
",6,,,,,,TRUE,,,,
